category,prompt
Risk/Uncertainty Attitudes,"When making big decisions with potentially large impacts, I usually…"
Risk/Uncertainty Attitudes,"If a guaranteed small reward is offered versus a chance at a much larger one, I…"
Risk/Uncertainty Attitudes,My comfort level with rapidly changing plans is generally…
Risk/Uncertainty Attitudes,"Before starting a complex project, I prefer to…"
Risk/Uncertainty Attitudes,"When faced with a problem that has no clear solution, my instinct is to…"
Risk/Uncertainty Attitudes,I view the possibility of failure as a…
Risk/Uncertainty Attitudes,My preferred style of travel involves…
Risk/Uncertainty Attitudes,"When I encounter ambiguous instructions, I will…"
Risk/Uncertainty Attitudes,I am most comfortable with financial investments that are…
Risk/Uncertainty Attitudes,"When someone suggests a risky venture, my initial reaction is to…"
Risk/Uncertainty Attitudes,"If I had to choose between predictability and excitement, I’d probably…"
Risk/Uncertainty Attitudes,My approach to navigating unforeseen circumstances is to…
Risk/Uncertainty Attitudes,I define success largely as…
Risk/Uncertainty Attitudes,I feel most alive when…
Risk/Uncertainty Attitudes,"Faced with a high-stakes gamble, I am likely to…"
Risk/Uncertainty Attitudes,"When anticipating future events, I tend to…"
Risk/Uncertainty Attitudes,I find comfort in…
Risk/Uncertainty Attitudes,My gut reaction to unexpected change is…
Risk/Uncertainty Attitudes,"When everyone else is panicking, I usually…"
Risk/Uncertainty Attitudes,I believe the greatest risks in life are often…
Authority/Power Dynamics,"When given authority over others, I tend to..."
Authority/Power Dynamics,My reaction to being micromanaged is usually...
Authority/Power Dynamics,I believe power should be distributed...
Authority/Power Dynamics,"If I disagree with my superior's decision, I would..."
Authority/Power Dynamics,A good leader empowers their team by...
Authority/Power Dynamics,I find it difficult to respect authority figures who...
Authority/Power Dynamics,"When I sense someone is trying to manipulate me, I..."
Authority/Power Dynamics,I think hierarchies are most effective when...
Authority/Power Dynamics,My approach to gaining influence in a group is usually...
Authority/Power Dynamics,"If I felt my power was being challenged, I would..."
Authority/Power Dynamics,I believe the most effective way to lead is by...
Authority/Power Dynamics,"When rules seem unfair or arbitrary, I tend to..."
Authority/Power Dynamics,"In situations with unclear power dynamics, I often..."
Authority/Power Dynamics,My ideal working relationship with a manager involves...
Authority/Power Dynamics,I am most likely to challenge authority when...
Authority/Power Dynamics,"When in a position to delegate tasks, I always..."
Authority/Power Dynamics,I think that true authority comes from...
Authority/Power Dynamics,My comfort level with being in control of a situation is...
Authority/Power Dynamics,"If someone uses their power to intimidate others, I..."
Authority/Power Dynamics,I view status symbols within an organization as...
Moral/Ethical Reasoning,"If I knew a friend was doing something morally questionable, I would..."
Moral/Ethical Reasoning,"Justice, to me, means ensuring that..."
Moral/Ethical Reasoning,"When confronted with a difficult ethical decision, I prioritize..."
Moral/Ethical Reasoning,The line between right and wrong becomes blurred when...
Moral/Ethical Reasoning,"If I had the power to change one thing to make the world more just, it would be..."
Moral/Ethical Reasoning,My personal moral compass is most influenced by...
Moral/Ethical Reasoning,"The concept of ""the greater good"" becomes problematic when..."
Moral/Ethical Reasoning,A situation where I compromised my own values was when...
Moral/Ethical Reasoning,"When faced with a moral dilemma and no clear answers, I trust..."
Moral/Ethical Reasoning,The most important ethical responsibility we have to future generations is...
Moral/Ethical Reasoning,Loyalty to a friend should be challenged if that loyalty means...
Moral/Ethical Reasoning,"In situations involving vulnerable populations, ethical behavior demands..."
Moral/Ethical Reasoning,"When profit and ethics clash, the primary consideration should be..."
Moral/Ethical Reasoning,"If I witnessed someone being unfairly treated, I would feel obligated to..."
Moral/Ethical Reasoning,My understanding of right and wrong is constantly evolving because...
Moral/Ethical Reasoning,The most challenging aspect of upholding ethical standards is...
Moral/Ethical Reasoning,An instance where bending the rules could be morally justified is if...
Moral/Ethical Reasoning,"When faced with conflicting values in the workplace, the best approach is to..."
Moral/Ethical Reasoning,The potential for harm in ethical decision-making exists mostly when...
Moral/Ethical Reasoning,"If forced to choose between honesty and kindness, I would generally..."
Emotional/Interpersonal Stance,"When someone expresses strong feelings, I usually..."
Emotional/Interpersonal Stance,"During a heated disagreement, I try to..."
Emotional/Interpersonal Stance,My comfort level with physical affection is...
Emotional/Interpersonal Stance,"If I feel taken advantage of, I tend to..."
Emotional/Interpersonal Stance,"When someone needs emotional support, I offer..."
Emotional/Interpersonal Stance,"In group conversations, I generally..."
Emotional/Interpersonal Stance,"When I've hurt someone's feelings, my first action is..."
Emotional/Interpersonal Stance,I find it easiest to connect with people who...
Emotional/Interpersonal Stance,"Expressing vulnerability is, for me..."
Emotional/Interpersonal Stance,"If someone violates my boundaries, I..."
Emotional/Interpersonal Stance,Confronting someone directly about an issue feels...
Emotional/Interpersonal Stance,"After an argument, I usually need..."
Emotional/Interpersonal Stance,"When I sense tension between people, I..."
Emotional/Interpersonal Stance,"In relationships, I value..."
Emotional/Interpersonal Stance,"Receiving criticism, I tend to..."
Emotional/Interpersonal Stance,"When I make a mistake affecting others, I..."
Emotional/Interpersonal Stance,I show my appreciation for others by...
Emotional/Interpersonal Stance,"In social settings where I don't know anyone, I..."
Emotional/Interpersonal Stance,"When I'm feeling overwhelmed, I typically..."
Emotional/Interpersonal Stance,Building trust with someone involves...
Analytical/Reasoning Style,"When faced with a seemingly impossible task, my first inclination is to..."
Analytical/Reasoning Style,"If someone presents information that contradicts my existing beliefs, I tend to..."
Analytical/Reasoning Style,"Before making a significant judgment, I consider it essential to..."
Analytical/Reasoning Style,My preferred method for understanding a new concept involves...
Analytical/Reasoning Style,The most crucial factor when evaluating the credibility of a source is...
Analytical/Reasoning Style,"When troubleshooting a technical issue, I usually start by..."
Analytical/Reasoning Style,"When brainstorming for solutions, I find it most helpful to..."
Analytical/Reasoning Style,"If presented with two equally compelling arguments, I would..."
Analytical/Reasoning Style,The most effective way to deal with conflicting information is to...
Analytical/Reasoning Style,"When interpreting statistical data, I am most attentive to..."
Analytical/Reasoning Style,My decision-making process is most effective when it includes...
Analytical/Reasoning Style,"When learning something new, I prefer to focus on..."
Analytical/Reasoning Style,"When a project goes wrong, I usually ask myself..."
Analytical/Reasoning Style,I consider a problem truly solved when...
Analytical/Reasoning Style,"When presented with a complex argument, I first try to..."
Analytical/Reasoning Style,I am most confident in my conclusions when...
Analytical/Reasoning Style,"To ensure accuracy, before believing something I typically…"
Analytical/Reasoning Style,"When reviewing someone else's work, I tend to focus on…"
Analytical/Reasoning Style,The key to effectively understanding a problem lies in…
Analytical/Reasoning Style,"Before accepting a new idea, I need to..."
Risk/Uncertainty Attitudes,"When facing a major life decision with no guaranteed outcome, I tend to..."
Risk/Uncertainty Attitudes,My comfort level with investing in high-risk ventures is usually...
Risk/Uncertainty Attitudes,"If unexpected challenges arise during a project, my first instinct is to..."
Risk/Uncertainty Attitudes,"The phrase ""better safe than sorry"" makes me think..."
Risk/Uncertainty Attitudes,"When considering a new opportunity with unknown potential, I prioritize..."
Risk/Uncertainty Attitudes,My approach to long-term financial planning typically involves...
Risk/Uncertainty Attitudes,"If a close friend suggested a spontaneous, unplanned adventure, I would..."
Risk/Uncertainty Attitudes,Uncertainty in my daily routine generally makes me feel...
Risk/Uncertainty Attitudes,"When starting a complex task, I prefer to..."
Risk/Uncertainty Attitudes,The idea of leaving a stable job for an entrepreneurial venture seems...
Risk/Uncertainty Attitudes,"If presented with conflicting information, I'm most likely to..."
Risk/Uncertainty Attitudes,My tolerance for ambiguity in workplace instructions is usually...
Risk/Uncertainty Attitudes,"When something goes wrong unexpectedly, I usually..."
Risk/Uncertainty Attitudes,"The biggest appeal of a secure, predictable life is..."
Risk/Uncertainty Attitudes,I feel most energized when I am...
Risk/Uncertainty Attitudes,Change is something I generally...
Risk/Uncertainty Attitudes,Making decisions under pressure feels...
Risk/Uncertainty Attitudes,I am most willing to take a risk when...
Risk/Uncertainty Attitudes,I plan for the future by...
Risk/Uncertainty Attitudes,The idea of complete predictability is...
Authority/Power Dynamics,"When given a leadership role, my first instinct is to..."
Authority/Power Dynamics,I believe rules are most effective when they are...
Authority/Power Dynamics,"If I disagree with my supervisor's decision, I typically..."
Authority/Power Dynamics,I find it easiest to respect authority figures who demonstrate...
Authority/Power Dynamics,"In a group project, I tend to approach power dynamics by..."
Authority/Power Dynamics,"When others try to control my actions, I usually..."
Authority/Power Dynamics,"The most effective way to influence others, in my opinion, is to..."
Authority/Power Dynamics,I view hierarchy as a necessary evil that...
Authority/Power Dynamics,"When I see someone abusing their power, I..."
Authority/Power Dynamics,I believe that true leadership involves...
Authority/Power Dynamics,"In situations where authority is unclear, I..."
Authority/Power Dynamics,I'm most comfortable with power structures when they are...
Authority/Power Dynamics,"If I perceive someone as power-hungry, I tend to..."
Authority/Power Dynamics,I believe that a leader's primary responsibility is to...
Authority/Power Dynamics,"When I'm asked to blindly follow orders, I..."
Authority/Power Dynamics,The most important thing to consider when wielding power is...
Authority/Power Dynamics,I feel most comfortable challenging authority when...
Authority/Power Dynamics,I think status within a group is earned through...
Authority/Power Dynamics,"If I were to build a company, I would organize it to..."
Authority/Power Dynamics,I generally think that formal titles and positions of authority...
Moral/Ethical Reasoning,"If I witnessed someone shoplifting food because they were starving, I would..."
Moral/Ethical Reasoning,The line between right and wrong often blurs when...
Moral/Ethical Reasoning,"When considering the ethics of new technology, we should prioritize..."
Moral/Ethical Reasoning,"In a situation where honesty could hurt someone deeply, I would..."
Moral/Ethical Reasoning,"Justice, to me, means..."
Moral/Ethical Reasoning,Sacrificing individual liberties for the sake of public safety is justifiable if...
Moral/Ethical Reasoning,"When faced with a difficult ethical decision, the first thing I do is..."
Moral/Ethical Reasoning,"If I knew a friend was doing something morally questionable, I would..."
Moral/Ethical Reasoning,I believe our obligations to future generations are...
Moral/Ethical Reasoning,"When my personal values conflict with those of my community, I tend to..."
Moral/Ethical Reasoning,"The most important principle to uphold, even when it's difficult, is..."
Moral/Ethical Reasoning,"If I had the power to change one thing about the world's ethical landscape, it would be..."
Moral/Ethical Reasoning,"The concept of ""fairness"" truly means ensuring that..."
Moral/Ethical Reasoning,"When making decisions that affect others, I try to consider..."
Moral/Ethical Reasoning,"If a company's profits come at the expense of environmental damage, then..."
Moral/Ethical Reasoning,My understanding of moral responsibility includes…
Moral/Ethical Reasoning,"If breaking a small rule could prevent a significant harm, I would…"
Moral/Ethical Reasoning,Ethical leadership requires…
Moral/Ethical Reasoning,"When considering different cultural norms and values, my guiding principle is…"
Moral/Ethical Reasoning,"If a law seems unjust, my response would be…"
Emotional/Interpersonal Stance,"When I feel overwhelmed by someone's problems, I usually..."
Emotional/Interpersonal Stance,"In group projects, I find myself typically..."
Emotional/Interpersonal Stance,"If someone cuts me off in traffic, I tend to..."
Emotional/Interpersonal Stance,My reaction to receiving unsolicited advice is often...
Emotional/Interpersonal Stance,"When a friend is gossiping, I'm likely to..."
Emotional/Interpersonal Stance,Handling disagreements with family members usually involves...
Emotional/Interpersonal Stance,"During periods of intense stress, my close relationships..."
Emotional/Interpersonal Stance,"If a coworker takes credit for my work, I will..."
Emotional/Interpersonal Stance,The way I offer comfort to a grieving friend is by...
Emotional/Interpersonal Stance,My tendency when first meeting new people is to...
Emotional/Interpersonal Stance,"If someone is being treated unfairly, I'm inclined to..."
Emotional/Interpersonal Stance,"When I feel personally attacked, I often..."
Emotional/Interpersonal Stance,Building trust with someone generally requires...
Emotional/Interpersonal Stance,"In heated debates, I usually try to..."
Emotional/Interpersonal Stance,Expressing my own vulnerabilities is...
Emotional/Interpersonal Stance,"If a partner consistently cancels plans, I would probably..."
Emotional/Interpersonal Stance,Showing empathy to someone I strongly disagree with involves...
Emotional/Interpersonal Stance,"When I feel misunderstood, my first instinct is to..."
Emotional/Interpersonal Stance,Setting boundaries with others typically looks like...
Emotional/Interpersonal Stance,The most challenging thing about teamwork for me is...
Analytical/Reasoning Style,"When faced with conflicting information, I tend to..."
Analytical/Reasoning Style,My preferred method for understanding a new concept is...
Analytical/Reasoning Style,"Before making a critical decision, I always..."
Analytical/Reasoning Style,The most crucial factor in solving a challenging problem is...
Analytical/Reasoning Style,"If I encounter an unexpected result, I usually..."
Analytical/Reasoning Style,I evaluate the credibility of a source by...
Analytical/Reasoning Style,My initial reaction to a statistical anomaly is to...
Analytical/Reasoning Style,"When breaking down a large task, I start by..."
Analytical/Reasoning Style,I find it easiest to learn new things when I can...
Analytical/Reasoning Style,"When someone presents a flawed argument, I typically..."
Analytical/Reasoning Style,"When comparing multiple options, I consider..."
Analytical/Reasoning Style,"To understand a complex system, I need to..."
Analytical/Reasoning Style,"When presented with ambiguous data, I like to..."
Analytical/Reasoning Style,My approach to resolving disagreements often involves...
Analytical/Reasoning Style,The most important aspect of a well-reasoned argument is...
Analytical/Reasoning Style,"If I'm stuck on a problem, the first thing I do is..."
Analytical/Reasoning Style,I prefer to make decisions based on...
Analytical/Reasoning Style,"When interpreting a chart or graph, I always..."
Analytical/Reasoning Style,I approach brainstorming sessions by first...
Analytical/Reasoning Style,The most effective way to convince someone is to...
Risk/Uncertainty Attitudes,"When making a big life decision, I weigh the potential upsides against…"
Risk/Uncertainty Attitudes,"If an investment opportunity seems too good to be true, I tend to…"
Risk/Uncertainty Attitudes,My comfort level with ambiguity increases when…
Risk/Uncertainty Attitudes,I find the idea of leaving everything behind and starting over…
Risk/Uncertainty Attitudes,"Before starting a new project, I usually spend time…"
Risk/Uncertainty Attitudes,"The phrase ""better safe than sorry"" makes me think of…"
Risk/Uncertainty Attitudes,"If unexpected opportunities arise, I'm most likely to…"
Risk/Uncertainty Attitudes,"When faced with several choices, each with unknown outcomes, I…"
Risk/Uncertainty Attitudes,My approach to financial planning can best be described as…
Risk/Uncertainty Attitudes,"To me, a calculated risk means…"
Risk/Uncertainty Attitudes,I feel the most uneasy when I don't know…
Risk/Uncertainty Attitudes,Spontaneity in my life looks like…
Risk/Uncertainty Attitudes,"When things deviate from my plan, I…"
Risk/Uncertainty Attitudes,Pursuing a risky goal feels rewarding when…
Risk/Uncertainty Attitudes,Security is best achieved by…
Risk/Uncertainty Attitudes,I'm more willing to take a risk if I believe…
Risk/Uncertainty Attitudes,My relationship with the unknown is…
Risk/Uncertainty Attitudes,The hardest part about dealing with uncertainty is…
Risk/Uncertainty Attitudes,"If I had to choose between a secure but boring job, or an uncertain but exciting one, I'd…"
Risk/Uncertainty Attitudes,My long-term plans generally involve…
Authority/Power Dynamics,"When given a leadership role, I usually"
Authority/Power Dynamics,Respect for authority figures should be
Authority/Power Dynamics,Power is best used when it's
Authority/Power Dynamics,"If a superior makes a clear mistake, I"
Authority/Power Dynamics,I believe rules are meant to be
Authority/Power Dynamics,My preferred method of influencing others is to
Authority/Power Dynamics,"If I disagree with a leader's decision, I typically"
Authority/Power Dynamics,I think hierarchies in organizations are
Authority/Power Dynamics,"When someone challenges my authority, I"
Authority/Power Dynamics,Delegating tasks to others feels like
Authority/Power Dynamics,A leader's responsibility is primarily to
Authority/Power Dynamics,The most effective way to handle subordinates is
Authority/Power Dynamics,Status symbols in a workplace are
Authority/Power Dynamics,"When someone abuses their power, I"
Authority/Power Dynamics,I find it easy to follow instructions when
Authority/Power Dynamics,"In a team setting, I typically defer to"
Authority/Power Dynamics,My approach to gaining influence is through
Authority/Power Dynamics,"When I feel powerless in a situation, I"
Authority/Power Dynamics,I believe authority should always be
Authority/Power Dynamics,Leaders should always prioritize
Moral/Ethical Reasoning,"When faced with a difficult moral choice, the first thing I do is..."
Moral/Ethical Reasoning,"Justice, to me, means..."
Moral/Ethical Reasoning,A time when I compromised my values was when...
Moral/Ethical Reasoning,"The needs of the many outweigh the needs of the few, except when..."
Moral/Ethical Reasoning,I believe the golden rule should always be applied unless...
Moral/Ethical Reasoning,"If I knew I wouldn't get caught, I would..."
Moral/Ethical Reasoning,Loyalty to a friend is important until...
Moral/Ethical Reasoning,The line between right and wrong becomes blurred when...
Moral/Ethical Reasoning,"When I witness someone being treated unfairly, I..."
Moral/Ethical Reasoning,"Sometimes bending the truth is acceptable, particularly if..."
Moral/Ethical Reasoning,I would sacrifice my personal happiness for the greater good if...
Moral/Ethical Reasoning,Authority should be questioned when...
Moral/Ethical Reasoning,Making a morally questionable decision is acceptable when you...
Moral/Ethical Reasoning,My conscience bothers me most when I...
Moral/Ethical Reasoning,I find myself rationalizing unethical behavior when...
Moral/Ethical Reasoning,The pursuit of wealth is ethical as long as...
Moral/Ethical Reasoning,A moral dilemma I recently faced was...
Moral/Ethical Reasoning,"I believe lying is always wrong, unless..."
Moral/Ethical Reasoning,An ethical leader should always...
Moral/Ethical Reasoning,My moral compass is most strongly influenced by...
Emotional/Interpersonal Stance,"When I feel overwhelmed by someone's problems, I usually…"
Emotional/Interpersonal Stance,"In a group project with conflicting opinions, I typically…"
Emotional/Interpersonal Stance,"If a stranger needs help in public, my first instinct is to…"
Emotional/Interpersonal Stance,"When someone shares a very personal story with me, I…"
Emotional/Interpersonal Stance,"If I accidentally hurt someone's feelings, my first reaction is…"
Emotional/Interpersonal Stance,"During a heated argument, I find myself mostly…"
Emotional/Interpersonal Stance,"When I need emotional support, I generally…"
Emotional/Interpersonal Stance,"In new social situations, I'm usually most comfortable when…"
Emotional/Interpersonal Stance,"If a close friend starts dating someone I dislike, I will…"
Emotional/Interpersonal Stance,"When someone constantly interrupts me, I tend to…"
Emotional/Interpersonal Stance,"If I disagree with a superior, I usually express it by…"
Emotional/Interpersonal Stance,"When I witness someone being treated unfairly, I typically…"
Emotional/Interpersonal Stance,"To show someone I care, I often…"
Emotional/Interpersonal Stance,"If someone violates my personal boundaries, I will…"
Emotional/Interpersonal Stance,"After an intense emotional experience, I need…"
Emotional/Interpersonal Stance,I find it easiest to connect with people who…
Emotional/Interpersonal Stance,"In a conversation, I consider active listening to mean…"
Emotional/Interpersonal Stance,"When someone is clearly upset but denying it, I will…"
Emotional/Interpersonal Stance,I find it most difficult to forgive someone for…
Emotional/Interpersonal Stance,"In a relationship, I value honesty over…"
Analytical/Reasoning Style,"When presented with a difficult problem, my first instinct is..."
Analytical/Reasoning Style,I evaluate new information by...
Analytical/Reasoning Style,The most important factor in a successful argument is...
